date,printed_price,book_printed_return,reconstructed_return
1995-03-01,2.11,,
1995-03-02,1.9,-0.1,-0.09952606635071093
1995-03-03,2.18,0.149906,0.14736842105263182
1995-03-06,2.16,-0.01081,-0.00917431192660556
1995-03-07,1.91,-0.11258,-0.11574074074074081
1995-03-08,1.86,-0.02985,-0.02617801047120405
1995-03-09,1.97,0.061538,0.05913978494623651
1995-03-10,2.27,0.15,0.15228426395939088
1995-03-13,2.49,0.099874,0.09691629955947145
1995-03-14,2.76,0.108565,0.10843373493975883
1995-03-15,2.61,-0.05426,-0.05434782608695654
1995-03-16,2.67,0.021858,0.02298850574712641
1995-03-17,2.64,-0.0107,-0.011235955056179692
1995-03-20,2.6,-0.01622,-0.015151515151515138
1995-03-21,2.59,-0.00275,-0.0038461538461539435
1995-03-22,2.59,-0.00275,0.0
1995-03-23,2.55,-0.01232,-0.015444015444015413
1995-03-24,2.73,0.069307,0.07058823529411762
1995-03-27,2.91,0.064815,0.06593406593406592
1995-03-28,2.92,0.002899,0.0034364261168384758
1995-03-29,2.92,0.0,0.0
1995-03-30,3.12,0.069364,0.06849315068493156
1995-03-31,3.14,0.005405,0.0064102564102563875
1995-04-03,3.13,-0.00269,-0.0031847133757962887
1995-04-04,3.24,0.037736,0.03514376996805124
1995-04-05,3.25,0.002597,0.0030864197530864335
1995-04-06,3.28,0.007772,0.009230769230769154
1995-04-07,3.21,-0.02057,-0.021341463414634054
1995-04-10,3.02,-0.06037,-0.05919003115264798
1995-04-11,3.08,0.019553,0.019867549668874274
1995-04-12,3.19,0.035616,0.03571428571428559
1995-04-17,3.21,0.007936,0.006269592476489061
1995-04-18,3.17,-0.01312,-0.012461059190031154
1995-04-19,3.24,0.021277,0.02208201892744488
